[2025-05-29 13:30:41] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.37 → SELL on okx @ 173.40 | Profit: 0.02%
[2025-05-29 13:30:54] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108818.34 → SELL on okx @ 108850.30 | Profit: 0.03%
[2025-05-29 13:30:58] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2726.07 → SELL on bitget @ 2726.93 | Profit: 0.03%
[2025-05-29 13:31:01] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.37 → SELL on mexc @ 173.39 | Profit: 0.01%
[2025-05-29 13:31:15] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108818.34 → SELL on okx @ 108844.60 | Profit: 0.02%
[2025-05-29 13:31:19] 🚀 [ARBITRAGE] ETH/USDT → BUY on binance @ 2726.00 → SELL on bitget @ 2727.21 | Profit: 0.04%
[2025-05-29 13:31:23] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.32 → SELL on bybit @ 173.35 | Profit: 0.02%
[2025-05-29 13:31:36] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108820.55 → SELL on okx @ 108854.00 | Profit: 0.03%
[2025-05-29 13:31:39] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2727.24 → SELL on bitget @ 2727.91 | Profit: 0.02%
[2025-05-29 13:31:42] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.36 → SELL on okx @ 173.40 | Profit: 0.02%
[2025-05-29 13:31:55] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108820.55 → SELL on okx @ 108860.00 | Profit: 0.04%
[2025-05-29 13:31:59] 🚀 [ARBITRAGE] ETH/USDT → BUY on binance @ 2727.06 → SELL on bitget @ 2727.92 | Profit: 0.03%
[2025-05-29 13:32:03] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.41 → SELL on bybit @ 173.45 | Profit: 0.02%
[2025-05-29 13:33:08] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108823.58 → SELL on mexc @ 108845.00 | Profit: 0.02%
[2025-05-29 13:33:13] 🚀 [ARBITRAGE] ETH/USDT → BUY on binance @ 2726.01 → SELL on bitget @ 2726.78 | Profit: 0.03%
[2025-05-29 13:33:16] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.40 → SELL on mexc @ 173.42 | Profit: 0.01%
[2025-05-29 13:33:29] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108816.84 → SELL on okx @ 108843.70 | Profit: 0.02%
[2025-05-29 13:33:32] 🚀 [ARBITRAGE] ETH/USDT → BUY on okx @ 2726.41 → SELL on bitget @ 2727.11 | Profit: 0.03%
[2025-05-29 13:33:36] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.43 → SELL on bybit @ 173.46 | Profit: 0.02%
[2025-05-29 13:33:49] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108827.03 → SELL on okx @ 108858.80 | Profit: 0.03%
[2025-05-29 13:33:52] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2726.76 → SELL on bitget @ 2727.53 | Profit: 0.03%
[2025-05-29 13:33:57] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.43 → SELL on okx @ 173.45 | Profit: 0.01%
[2025-05-29 13:34:10] 🚀 [ARBITRAGE] BTC/USDT → BUY on okx @ 108845.00 → SELL on bybit @ 108870.90 | Profit: 0.02%
[2025-05-29 13:34:14] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2726.18 → SELL on bitget @ 2726.92 | Profit: 0.03%
[2025-05-29 13:34:17] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.42 → SELL on okx @ 173.43 | Profit: 0.01%
[2025-05-29 13:34:31] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108760.02 → SELL on mexc @ 108778.99 | Profit: 0.02%
[2025-05-29 13:34:35] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2721.97 → SELL on bitget @ 2722.74 | Profit: 0.03%
[2025-05-29 13:34:38] 🚀 [ARBITRAGE] SOL/USDT → BUY on okx @ 173.13 → SELL on bitget @ 173.14 | Profit: 0.01%
[2025-05-29 13:34:51] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108743.71 → SELL on okx @ 108770.70 | Profit: 0.02%
[2025-05-29 13:34:55] 🚀 [ARBITRAGE] ETH/USDT → BUY on okx @ 2721.71 → SELL on bitget @ 2723.05 | Profit: 0.05%
[2025-05-29 13:34:58] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.16 → SELL on binance @ 173.20 | Profit: 0.02%
[2025-05-29 13:35:11] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108742.44 → SELL on mexc @ 108759.01 | Profit: 0.02%
[2025-05-29 13:35:15] 🚀 [ARBITRAGE] ETH/USDT → BUY on mexc @ 2720.18 → SELL on bitget @ 2721.10 | Profit: 0.03%
[2025-05-29 13:35:18] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.05 → SELL on mexc @ 173.10 | Profit: 0.03%
[2025-05-29 13:35:32] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108742.44 → SELL on okx @ 108760.00 | Profit: 0.02%
[2025-05-29 13:35:37] 🚀 [ARBITRAGE] ETH/USDT → BUY on binance @ 2720.00 → SELL on bitget @ 2720.91 | Profit: 0.03%
[2025-05-29 13:35:42] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.11 → SELL on bybit @ 173.14 | Profit: 0.02%
[2025-05-29 13:35:56] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108774.88 → SELL on bybit @ 108798.90 | Profit: 0.02%
[2025-05-29 13:36:00] 🚀 [ARBITRAGE] ETH/USDT → BUY on binance @ 2721.55 → SELL on bitget @ 2722.21 | Profit: 0.02%
[2025-05-29 13:36:05] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.11 → SELL on bybit @ 173.15 | Profit: 0.02%
[2025-05-29 13:36:19] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108792.36 → SELL on bybit @ 108818.40 | Profit: 0.02%
[2025-05-29 13:36:24] 🚀 [ARBITRAGE] ETH/USDT → BUY on okx @ 2723.01 → SELL on bitget @ 2723.81 | Profit: 0.03%
[2025-05-29 13:36:28] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.17 → SELL on okx @ 173.22 | Profit: 0.03%
[2025-05-29 13:36:41] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108792.36 → SELL on bybit @ 108821.50 | Profit: 0.03%
[2025-05-29 13:36:44] 🚀 [ARBITRAGE] ETH/USDT → BUY on binance @ 2723.00 → SELL on bitget @ 2724.11 | Profit: 0.04%
[2025-05-29 13:36:47] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.15 → SELL on bybit @ 173.19 | Profit: 0.02%
[2025-05-29 13:37:01] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108803.23 → SELL on bybit @ 108826.60 | Profit: 0.02%
[2025-05-29 13:37:06] 🚀 [ARBITRAGE] ETH/USDT → BUY on mexc @ 2723.44 → SELL on bitget @ 2724.91 | Profit: 0.05%
[2025-05-29 13:37:09] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.20 → SELL on bybit @ 173.25 | Profit: 0.03%
[2025-05-29 13:37:24] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108814.11 → SELL on bybit @ 108838.60 | Profit: 0.02%
[2025-05-29 13:37:27] 🚀 [ARBITRAGE] ETH/USDT → BUY on mexc @ 2723.69 → SELL on bitget @ 2724.65 | Profit: 0.04%
[2025-05-29 13:37:31] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.17 → SELL on okx @ 173.21 | Profit: 0.02%
[2025-05-29 13:37:47] 🚀 [ARBITRAGE] ETH/USDT → BUY on okx @ 2723.01 → SELL on bitget @ 2723.88 | Profit: 0.03%
[2025-05-29 13:37:50] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.13 → SELL on okx @ 173.15 | Profit: 0.01%
[2025-05-29 13:38:04] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108811.97 → SELL on mexc @ 108835.68 | Profit: 0.02%
[2025-05-29 13:38:07] 🚀 [ARBITRAGE] ETH/USDT → BUY on binance @ 2723.01 → SELL on bitget @ 2723.81 | Profit: 0.03%
[2025-05-29 13:38:10] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.10 → SELL on kucoin @ 173.13 | Profit: 0.02%
[2025-05-29 13:38:23] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108793.00 → SELL on mexc @ 108812.07 | Profit: 0.02%
[2025-05-29 13:38:27] 🚀 [ARBITRAGE] ETH/USDT → BUY on binance @ 2721.01 → SELL on bitget @ 2721.91 | Profit: 0.03%
[2025-05-29 13:38:30] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.03 → SELL on okx @ 173.07 | Profit: 0.02%
